Organ,Name,Task,Modality,Dataset size,Strengths,Features,Date,Size,License,Platform,Link
,Radfusion,Pulmonary Embolism Detection & Fairness Evaluation (multimodal),CT,"1,837 CTPA studies",First public dataset combining 3D CT with longitudinal EHR for PE; First fairness evaluation of multimodal fusion models; Expert annotations ,"1.25mm axial CT slices; 600,000+ 2D slices; Window: center=400, width=1000 (pulmonary artery optimized); Median 386 slices/study; PE labels: Central, Segmental, Subsegmental",2021,~300 GB,Stanford University Dataset Research Use Agreement,Stanford AIMI,https://stanfordaimi.azurewebsites.net/datasets/3a7548a4-8f65-4ab7-85fa-3d68c9efc1bd
,FUMPE,Pulmonary embolism detection & segmentation,CT,35 CTPA scans,Dual expert radiologist annotations; Published in Scientific Data (Nature); One of the earliest public PE datasets with pixel-level ground truth,CTA images + ground truth masks; Semi-automated annotation tool; 35 patients,2018,4.6 GB,N/A,Kaggle,https://www.kaggle.com/datasets/andrewmvd/pulmonary-embolism-in-ct-images
,INSPECT,Pulmonary Embolism Diagnosis & Prognosis (multimodal),CT,"23,248 CTPA studies",First dataset linking CTPA images + radiology reports + full longitudinal EHR for PE patients; Largest PE multimodal dataset publicly available,"3 modalities: CTPA scans, radiology reports (unstructured), EHR (9 OMOP tables); Prognosis tasks: 3; Diagnosis tasks: 1; Stanford Hospital data; STARR OMOP format",2023,~2.5 TB,Stanford University Dataset Research Use Agreement,Stanford AIMI,https://stanfordaimi.azurewebsites.net/datasets?term=INSPECT
,ChestPathCT5-S100,"Thoracic pathology classification (PE, rib fracture, pleural fluid, pulmonary mass, pneumothorax)",CT,87 chest CT scans (including 20 PE),Multi-pathology chest CT dataset from clinical practice; Includes both contrast and non-contrast scans,"NIfTI (.nii.gz) format; 5 pathology categories; Adult patients; Contrast + non-contrast; No segmentation masks, raw scans only",2026,9.6 GB,CC0 1.0,Zenodo,https://zenodo.org/records/18256797
,ImageVessel,Pulmonary Arteries and Veins Segmentation,CT,95 3D CT scans,First public dataset for pulmonary artery & vein segmentation to aid lung cancer surgery planning; Annotations created and validated in clinical practice by expert surgeons; Supports development of 3D visualization (VR/3D printing) for surgery.,Size: 512×512;  Patient age: 29-82 yrs; Annotations: Intrapulmonary & extrapulmonary arteries/veins + lung areas; Focus: Half-lung annotations per scan ,2024,19.7 GB,Apache 2.0,Kaggle,https://www.kaggle.com/datasets/xiaoweixumedicalai/mytest
,,,,,,,,,,,
Peripheral Arteries,,,,,,,,,,,
,CUBS (Carotid Ultrasound Boundary Study),Carotid intima-media thickness (CIMT) measurement & segmentation,US, 500 carotid ultrasound images (multicenter),"Open multicenter benchmark (multiple centers); Compares 7 automated CIMT algorithms (traditional + deep learning) vs. 3 expert manual segmentations; Stratified analysis by morphology, SNR, and center",Longitudinal B-mode common carotid artery images; 3 manual segmentations + 7 computerized segmentations per image; Conversion factors included,2022,0.1 GB,CC BY 4.0,Mendeley Data,https://doi.org/10.17632/m7ndn58sv6.1
,Common Carotid Artery Ultrasound Images,Carotid artery segmentation & geometry measurement,US,1100 images from 11 subjects,Includes expert segmentation masks (technician + expert verification); Time series converted from DICOM; Simple and accessible format,"B-mode carotid US (carotid & vascular modalities); 709×749×3 px PNG images; 2200 files total (images + masks); Mindray UMT-500Plus, L13-3s linear probe; 100 images/subject",2022,0.2 GB,CC BY 4.0,Mendeley Data,https://doi.org/10.17632/d4xt63mgjm.1
,KiPA22,"Kidney, renal artery & vein segmentation",CT,130 CTA scans , Includes fine renal vascular structure annotations (artery + vein); Contains abnormal kidney samples (tumors); Only public dataset with annotated renal artery/vein segmentation,"4 classes: kidney, kidney tumor, renal artery, renal vein; Isotropic spacing ~0.63mm; Size ~150×150×198 voxels; NIfTI (.nii.gz); Kidney-cropped volumes",2022,~6.5 GB,CC BY NC ND,Grand Challenge,https://kipa22.grand-challenge.org
,,,,,,,,,,,
,,,,,,,,,,,
Multi-Organ,,,,,,,,,,,
,TotalSegmentator CT,Whole-body segmentation of 117 anatomical structures,CT,1228 3D CT scans,Largest public multi-organ CT segmentation dataset; Covers majority of cardiovascular structures; Trained on highly diverse real-world clinical data,"Structures: 117 classes. Key cardiovascular structures: Aorta, Pulmonary Artery, Heart Chambers (Left/Right Atrium & Ventricle, Myocardium), Iliac Arteries/Veins, Inferior Vena Cava, Portal & Splenic Veins",2023,23.6 GB,Apache 2.0,Zenodo,https://doi.org/10.5281/zenodo.6802614
,Medical Segmentation Decathlon (MSD),"Multi-organ segmentation across 10 tasks (brain, heart/left atrium, hippocampus, liver, lung, pancreas, prostate, colon, hepatic vessels, spleen)","CT, MRI",2633 3D images across 10 tasks,First challenge to test algorithmic generalizability across multiple tasks and modalities simultaneously; Largest and most comprehensive multi-task medical segmentation benchmark,"10 tasks, 17 target ROIs; Multi-institution, multi-modality (CT + MRI); NIfTI format",2022,97.5 GB,CC BY-SA 4.0,AWS Open Data,http://medicaldecathlon.com/
,TotalSegmentator MRI,Whole-body segmentation of 50 anatomical structures,MRI,616 3D MRI scans,Largest public multi-organ MRI segmentation dataset; Covers majority of cardiovascular structures; Real-world clinical data from routine practice; Includes IDC images for additional diversity,"Structures: 50 classes. Key cardiovascular: Heart, Aorta, Inferior Vena Cava, Portal & Splenic Veins, Iliac Arteries/Veins",2025,5.1 GB,Apache 2.0,Zenodo,https://doi.org/10.5281/zenodo.14710732
,AortaSeg24,Multi-class aortic branches & zones segmentation,CT,100 aortic CTA,First dataset with 23 clinically relevant aortic branches and SVS/STS zones annotated; Expert vascular surgeon annotations; Public benchmark with top-performing implementations available,"23 classes: aortic zones 0–11 + branches (innominate, carotid, subclavian, celiac, SMA, renal, iliac arteries); 512×512×245–962 slices; Resampled to 1×1×1 mm isotropic; uTBAD patients only",2025,~50 GB,DUA (Data Use Agreement),Grand Challenge,https://aortaseg24.grand-challenge.org/
